Gene	Cytoband	(A) NON-SARIFA	(B) SARIFA	Log Ratio	p-Value	q-Value	Enriched in
GFRA2	8p21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GHRHR	7p14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GIMAP1	7q36.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GNA11	19p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GSAP	7q11.23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GSR	8p12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GTF2E2	8p12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GUCY2EP	11q13.5	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
GUF1	4p12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
H2BC4	6p22.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HDHD2	18q21.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HEXIM1	17q21.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HINFP	11q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HM13-AS1	20q11.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HMGB1	13q12.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HNRNPL	19q13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HOATZ	11q23.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HOXA11	7p15.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HOXD3	2q31.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HSPA2	14q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
HUNK	21q22.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ID1	20q11.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IDE	10q23.33	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IDO2	8p11.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IFT88	13q12.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IGDCC4	15q22.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IGFLR1	19q13.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IL27RA	19p13.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
INPP5K	17p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
INSIG2	2q14.1-q14.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
IRF8	16q24.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ITGA5	12q13.13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ITGA8	10p13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
JKAMP	14q23.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCNAB2	1p36.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCNJ2	17q24.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCNK17	6p21.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCNQ1	11p15.5-p15.4	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCTD19	16q22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KCTD4	13q14.12-q14.13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KIF5C	2q23.1-q23.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KLHDC9	1q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
KLHL35	11q13.4	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LDB2	4p15.32	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LDHA	11p15.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LHFPL6	13q13.3-q14.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LILRA5	19q13.42	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LIN7A	12q21.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC00242	6q27	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC00574	6q27	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC00595	10q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC00856	10q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC01341	1q44	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC01624	6q27	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC01743	1q44	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC02888	7p21.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
LINC02889	7p21.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MAB21L4	2q37.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MACROH2A2	10q22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MAGIX	Xp11.23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MAP3K6	1p36.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MAU2	19p13.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MCM10	10p13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MED26	19p13.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MGAT2	14q21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MGAT5	2q21.2-q21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MICALL1	22q13.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MINK1	17p13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MISP	19p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MOG	6p22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MRM3	17p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MS4A14	11q12.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MTF1	1p34.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MUL1	1p36.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
MX1	21q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NAALAD2	11q14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NCBP3	17p13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NDUFS2	1q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NEMP1	12q13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NFE2L2	2q31.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NHLRC2	10q25.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NKX1-2	10q26.13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NLGN3	Xq13.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NLRP6	11p15.5	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NOL8	9q22.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NOP56	20p13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NTF3	12p13.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NUDT11	Xp11.22	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
NXPH4	12q13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OGT	Xq13.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OLFM4	13q14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OLFML2A	9q33.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR10G3	14q11.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR11A1	6p22.2-p21.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR11H1	22q11.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR4A47	11p11.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR4C12	11p11.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR51A7	11p15.4	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR6B2	2q37.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR8B3	11q24.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR8H3	11q12.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OR8J1	11q12.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
OTX2	14q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PABIR1	9q21.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PANK4	1p36.32	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PDCD2L	19q13.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PDLIM2	8p21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PFKFB3	10p15.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PFKL	21q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PGM2L1	11q13.4	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PHYHIP	8p21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PIDD1	11p15.5	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PIGA	Xp22.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PIK3R5	17p13.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PKMYT1	16p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PLEKHA8	7p14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PLPPR1	9q31.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
POMGNT1	1p34.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PPOX	1q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PPWD1	5q12.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PRAMEF13	1p36.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PRDM7	16q24.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PRKCB	16p12.2-p12.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PROK2	3p13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PRSS48	4q31.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PSENEN	19q13.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
PSMC5	17q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RAB11FIP2	10q26.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RAB34	17q11.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RAP1GAP2	17p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RARS2	6q15	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RASSF7	11p15.5	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RDH5	12q13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RHBDD2	7q11.23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RNF182	6p23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RNF19B	1p35.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RNF8	6p21.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RNH1	11p15.5	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RNPEPL1	2q37.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RPL7A	9q34.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RPP25L	9p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RXFP1	4q32.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
RYBP	3p13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SAC3D1	11q13.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SAMD11	1p36.33	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SCFD2	4q12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SCNN1D	1p36.33	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SCRN1	7p14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SEH1L	18p11.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SERP2	13q14.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SFPQ	1p34.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SH3D21	1p34.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SHTN1	10q25.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SIGMAR1	9p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SIX2	2p21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SKIDA1	10p12.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SLC10A4	4p11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SLC16A6	17q24.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SLC25A1	22q11.21	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SLC27A6	5q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SLC44A5	1p31.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SMAD2	18q21.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SMAD3	15q22.33	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SMIM6	17q25.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SPATA21	1p36.13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SPATA33	16q24.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SRP9	1q42.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ST8SIA3	18q21.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
SYCE1	10q26.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TAB3	Xp21.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TAGAP	6q25.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TAPBPL	12p13.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TBC1D3B	17q12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TBC1D8B	Xq22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TESK2	1p34.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TEX29	13q34	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TEX36-AS1	10q26.13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TGDS	13q32.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TGFBR3	1p22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
THNSL1	10p12.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TMEM121B	22q11.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TMEM252	9q21.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TMEM87B	2q13	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TNFRSF1A	12p13.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TPST2	22q12.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TRARG1	17p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TRIM36	5q22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TTYH1	19q13.42	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
TXNL4B	16q22.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
UAP1L1	9q34.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
UBE2Q1	1q21.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
UGGT1	2q14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
UPB1	22q11.23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
USP40	2q37.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
VASN	16p13.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
VAX1	10q25.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
VPS36	13q14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
VSIG1	Xq22.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
WIF1	12q14.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
WSCD2	12q23.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
WTAP	6q25.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
XPO1	2p15	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZBTB32	19q13.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZBTB49	4p16.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZDHHC24	11q13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZFAND3	6p21.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZKSCAN4	6p22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF165	6p22.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF180	19q13.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF264	19q13.43	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF276	16q24.3	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF282	7q36.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF350	19q13.41	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF362	1p35.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF559	19p13.2	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF571	19q13.12	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF683	1p36.11	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF70	22q11.23	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF705A	12p13.31	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF770	15q14	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF772	19q13.43	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF805	19q13.43	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZNF841	19q13.41	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZSCAN20	1p35.1	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
ZSCAN5A	19q13.43	5 (2.62%)	3 (3.37%)	-0.36	0.494	0.667	(B) SARIFA
CASZ1	1p36.22	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
FBN2	5q23.3	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
IRF2	4q35.1	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
MID1	Xp22	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
OXCT1	5p13.1	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
POP4	19q12	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
SORBS2	4q35.1	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
WIPF2	17q21.2	19 (9.95%)	8 (8.99%)	0.15	0.494	0.667	(A) NON-SARIFA
ABCB1	7q21.12	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
CASC8	8q24.21	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
CCAT2	8q24.21	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
CDH8	16q21	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
CDKN2B	9p21.3	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
CHD7	8q12.2	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
DAB2	5p13.1	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
NFATC2	20q13.2	20 (10.47%)	10 (11.24%)	-0.10	0.498	0.667	(B) SARIFA
DSEL	18q22.1	21 (10.99%)	9 (10.11%)	0.12	0.502	0.667	(A) NON-SARIFA
JUP	17q21.2	21 (10.99%)	9 (10.11%)	0.12	0.502	0.667	(A) NON-SARIFA
LIFR	5p13.1	21 (10.99%)	9 (10.11%)	0.12	0.502	0.667	(A) NON-SARIFA
ARHGEF17	11q13.4	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
CDKN2A-DT	9p21.3	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
PCAT1	8q24.21	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
PRNCR1	8q24.21	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
SLC12A5	20q13.12	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
SLIT2	4p15.31	18 (9.42%)	9 (10.11%)	-0.10	0.506	0.667	(B) SARIFA
ACAP1	17p13.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ACSM3	16p12.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ADAT3	19p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ADPRHL1	13q34	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
AFG3L2	18p11.21	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
AGAP2-AS1	12q14.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
AGO3	1p34.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
AHCY	20q11.22	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ANKMY2	7p21.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ANKRD28	3p25.1	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
API5	11p12	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ARHGDIG	16p13.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ARHGEF37	5q32	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ASH2L	8p11.23	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ATG4A	Xq22.3	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
ATP11A-AS1	13q34	6 (3.14%)	2 (2.25%)	0.48	0.506	0.667	(A) NON-SARIFA
